Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
InFo Neurologie + Psychiatrie,2195-5166,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Informatik Spektrum,1432-122X,Yes,,,Springer Nature (Springer)
Information Geometry,2511-249X,Yes,,,Springer Nature (Springer)
Information Retrieval Journal,1573-7659,Yes,,,Springer Nature (Springer)
Information Systems and e-Business Management,1617-9854,Yes,,,Springer Nature (Springer)
Information Systems Frontiers,1572-9419,Yes,,,Springer Nature (Springer)
Information Technology & Tourism,1943-4294,Yes,,,Springer Nature (Springer)
Information Technology and Management,1573-7667,Yes,,,Springer Nature (Springer)
Inland Water Biology,1995-0837,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Innovations in Systems and Software Engineering,1614-5054,Yes,,,Springer Nature (Springer)
Innovative Higher Education,1573-1758,Yes,,,Springer Nature (Springer)
Innovative Infrastructure Solutions,2364-4184,Yes,,,Springer Nature (Springer)
Inorganic Materials,1608-3172,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Inorganic Materials: Applied Research,2075-115X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Insectes Sociaux,1420-9098,Yes,,,Springer Nature (Springer)
Instructional Science,1573-1952,Yes,,,Springer Nature (Springer)
Instruments and Experimental Techniques,1608-3180,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Integral Equations and Operator Theory,1420-8989,Yes,,,Springer Nature (Springer)
Integrating Materials and Manufacturing Innovation,2193-9772,Yes,,,Springer Nature (Springer)
Integrative Psychological and Behavioral Science,1936-3567,Yes,,,Springer Nature (Springer)
Intelligent Service Robotics,1861-2784,Yes,,,Springer Nature (Springer)
Intensive Care Medicine,1432-1238,Yes,,,Springer Nature (Springer)
Interceram - International Ceramic Review,2523-8957,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Interchange,1573-1790,Yes,,,Springer Nature (Springer)
Interdisciplinary Sciences: Computational Life Sciences,1867-1462,Yes,,,Springer Nature (Springer)
Interest Groups & Advocacy,2047-7422,Yes,,,Springer Nature (Palgrave Macmillan)
Internal and Emergency Medicine,1970-9366,Yes,,,Springer Nature (Springer)
International Advances in Economic Research,1573-966X,Yes,,,Springer Nature (Springer)
International Applied Mechanics,1573-8582,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
International Archives of Occupational and Environmental Health,1432-1246,Yes,,,Springer Nature (Springer)
International Cancer Conference Journal,2192-3183,Yes,,,Springer Nature (Springer)
International Communication of Chinese Culture,2197-4241,Yes,,,Springer Nature (Springer)
International Criminology,2662-9976,Yes,,,Springer Nature (Springer)
International Cybersecurity Law Review,2662-9739,Yes,,,Springer Nature (Springer)
International Economics and Economic Policy,1612-4812,Yes,,,Springer Nature (Springer)
International Entrepreneurship and Management Journal,1555-1938,Yes,,,Springer Nature (Springer)
"International Environmental Agreements: Politics, Law and Economics",1573-1553,Yes,,,Springer Nature (Springer)
International Journal for Educational and Vocational Guidance,1573-1782,Yes,,,Springer Nature (Springer)
International Journal for Philosophy of Religion,1572-8684,Yes,,,Springer Nature (Springer)
International Journal for the Advancement of Counselling,1573-3246,Yes,,,Springer Nature (Springer)
International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,1572-8722,Yes,,,Springer Nature (Springer)
International Journal of Advances in Engineering Sciences and Applied Mathematics,0975-5616,Yes,,,Springer Nature (Springer)
International Journal of Aeronautical and Space Sciences,2093-2480,Yes,,,Springer Nature (Springer)
International Journal of Applied and Computational Mathematics,2199-5796,Yes,,,Springer Nature (Springer)
International Journal of Applied Positive Psychology,2364-5059,Yes,,,Springer Nature (Springer)
International Journal of Artificial Intelligence in Education,1560-4306,Yes,,,Springer Nature (Springer)
International Journal of Automation and Computing,1751-8520,Yes,,,Springer Nature (Springer)
International Journal of Automotive Technology,1976-3832,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
International Journal of Behavioral Medicine,1532-7558,Yes,,,Springer Nature (Springer)
International Journal of Biometeorology,1432-1254,Yes,,,Springer Nature (Springer)
International Journal of Bullying Prevention,2523-3661,Yes,,,Springer Nature (Springer)
International Journal of Civil Engineering,2383-3874,Yes,,,Springer Nature (Springer)
International Journal of Clinical Oncology,1437-7772,Yes,,,Springer Nature (Springer)
International Journal of Clinical Pharmacy,2210-7711,Yes,,,Springer Nature (Springer)
International Journal of Cognitive Therapy,1937-1217,Yes,,,Springer Nature (Springer)
International Journal of Colorectal Disease,1432-1262,Yes,,,Springer Nature (Springer)
International Journal of Community Well-Being,2524-5309,Yes,,,Springer Nature (Springer)
International Journal of Computer Assisted Radiology and Surgery,1861-6429,Yes,,,Springer Nature (Springer)
International Journal of Computer Vision,1573-1405,Yes,,,Springer Nature (Springer)
International Journal of Computer-Supported Collaborative Learning,1556-1615,Yes,,,Springer Nature (Springer)
"International Journal of Control, Automation and Systems",2005-4092,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
International Journal of Data Science and Analytics,2364-4168,Yes,,,Springer Nature (Springer)
International Journal of Diabetes in Developing Countries,1998-3832,Yes,,,Springer Nature (Springer)
International Journal of Digital Humanities,2524-7840,Yes,,,Springer Nature (Springer)
International Journal of Disclosure and Governance,1746-6539,Yes,,,Springer Nature (Palgrave Macmillan)
International Journal of Dynamics and Control,2195-2698,Yes,,,Springer Nature (Springer)
International Journal of Early Childhood,1878-4658,Yes,,,Springer Nature (Springer)
International Journal of Earth Sciences,1437-3262,Yes,,,Springer Nature (Springer)
International Journal of Economic Policy Studies,1881-4387,Yes,,,Springer Nature (Springer)
International Journal of Energy and Environmental Engineering,2251-6832,Yes,,,Springer Nature (Springer)
International Journal of Energy and Water Resources,2522-0101,Yes,,,Springer Nature (Springer)
International Journal of Environmental Research,2008-2304,Yes,,,Springer Nature (Springer)
International Journal of Environmental Science and Technology,1735-2630,Yes,,,Springer Nature (Springer)
International Journal of Ethics Education,2364-0006,Yes,,,Springer Nature (Springer)
International Journal of Fracture,1573-2673,Yes,,,Springer Nature (Springer)
International Journal of Fuzzy Systems,2199-3211,Yes,,,Springer Nature (Springer)
International Journal of Game Theory,1432-1270,Yes,,,Springer Nature (Springer)
International Journal of Geosynthetics and Ground Engineering,2199-9279,Yes,,,Springer Nature (Springer)
International Journal of Global Business and Competitiveness,0976-1888,Yes,,,Springer Nature (Springer)
International Journal of Health Economics and Management,2199-9031,Yes,,,Springer Nature (Springer)
International Journal of Hematology,1865-3774,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
International Journal of Hindu Studies,1574-9282,Yes,,,Springer Nature (Springer)
International Journal of Historical Archaeology,1573-7748,Yes,,,Springer Nature (Springer)
International Journal of Impotence Research,1476-5489,Yes,,,Springer Nature (Academic Journals on Nature.com)
International Journal of Information Security,1615-5270,Yes,,,Springer Nature (Springer)
International Journal of Information Technology,2511-2112,Yes,,,Springer Nature (Springer)
International Journal of Intelligent Robotics and Applications,2366-598X,Yes,,,Springer Nature (Springer)
International Journal of Intelligent Transportation Systems Research,1868-8659,Yes,,,Springer Nature (Springer)
International Journal of Latin American Religions,2509-9965,Yes,,,Springer Nature (Springer)
International Journal of Legal Medicine,1437-1596,Yes,,,Springer Nature (Springer)
International Journal of Machine Learning and Cybernetics,1868-808X,Yes,,,Springer Nature (Springer)
International Journal of Material Forming,1960-6214,Yes,,,Springer Nature (Springer)
International Journal of Mechanics and Materials in Design,1573-8841,Yes,,,Springer Nature (Springer)
International Journal of Mental Health and Addiction,1557-1882,Yes,,,Springer Nature (Springer)
International Journal of Metalcasting,2163-3193,Yes,,,Springer Nature (Springer)
"International Journal of Minerals, Metallurgy and Materials",1869-103X,Yes,,,Springer Nature (Springer)
International Journal of Multimedia Information Retrieval,2192-662X,Yes,,,Springer Nature (Springer)
International Journal of Obesity,1476-5497,Yes,,,Springer Nature (Academic Journals on Nature.com)
International Journal of Parallel Programming,1573-7640,Yes,,,Springer Nature (Springer)
International Journal of Pavement Research and Technology,1997-1400,Yes,,,Springer Nature (Springer)
International Journal of Peptide Research and Therapeutics,1573-3904,Yes,,,Springer Nature (Springer)
International Journal of Plant Production,1735-8043,Yes,,,Springer Nature (Springer)
"International Journal of Politics, Culture, and Society",1573-3416,Yes,,,Springer Nature (Springer)
International Journal of Precision Engineering and Manufacturing,2005-4602,Yes,,,Springer Nature (Springer)
International Journal of Precision Engineering and Manufacturing-Green Technology,2198-0810,Yes,,,Springer Nature (Springer)
International Journal of Primatology,1573-8604,Yes,,,Springer Nature (Springer)
International Journal of Research in Undergraduate Mathematics Education,2198-9753,Yes,,,Springer Nature (Springer)
International Journal of Science and Mathematics Education,1573-1774,Yes,,,Springer Nature (Springer)
International Journal of Self-Propagating High-Temperature Synthesis,1934-788X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
International Journal of Social Robotics,1875-4805,Yes,,,Springer Nature (Springer)
International Journal of Speech Technology,1572-8110,Yes,,,Springer Nature (Springer)
International Journal of Steel Structures,2093-6311,Yes,,,Springer Nature (Springer)
International Journal of System Assurance Engineering and Management,0976-4348,Yes,,,Springer Nature (Springer)
International Journal of Technology and Design Education,1573-1804,Yes,,,Springer Nature (Springer)
International Journal of the Classical Tradition,1874-6292,Yes,,,Springer Nature (Springer)
International Journal of the Sociology of Leisure,2520-8691,Yes,,,Springer Nature (Springer)
International Journal of Theoretical Physics,1572-9575,Yes,,,Springer Nature (Springer)
International Journal of Thermophysics,1572-9567,Yes,,,Springer Nature (Springer)
International Journal of Tropical Insect Science,1742-7592,Yes,,,Springer Nature (Springer)
International Journal of Wireless Information Networks,1572-8129,Yes,,,Springer Nature (Springer)
"International Journal on Child Maltreatment: Research, Policy and Practice",2524-5244,Yes,,,Springer Nature (Springer)
International Journal on Digital Libraries,1432-1300,Yes,,,Springer Nature (Springer)
International Journal on Document Analysis and Recognition (IJDAR),1433-2825,Yes,,,Springer Nature (Springer)
International Journal on Interactive Design and Manufacturing (IJIDeM),1955-2505,Yes,,,Springer Nature (Springer)
International Journal on Software Tools for Technology Transfer,1433-2787,Yes,,,Springer Nature (Springer)
International Microbiology,1618-1905,Yes,,,Springer Nature (Springer)
International Nano Letters,2228-5326,Yes,,,Springer Nature (Springer)
International Ophthalmology,1573-2630,Yes,,,Springer Nature (Springer)
International Orthopaedics,1432-5195,Yes,,,Springer Nature (Springer)
International Politics,1740-3898,Yes,,,Springer Nature (Palgrave Macmillan)
International Politics Reviews,2050-2990,Yes,,,Springer Nature (Palgrave Macmillan)
International Review of Economics,1863-4613,Yes,,,Springer Nature (Springer)
International Review of Education,1573-0638,Yes,,,Springer Nature (Springer)
International Review on Public and Nonprofit Marketing,1865-1992,Yes,,,Springer Nature (Springer)
International Tax and Public Finance,1573-6970,Yes,,,Springer Nature (Springer)
International Urogynecology Journal,1433-3023,Yes,,,Springer Nature (Springer)
International Urology and Nephrology,1573-2584,Yes,,,Springer Nature (Springer)
Inventiones mathematicae,1432-1297,Yes,,,Springer Nature (Springer)
Investigational New Drugs,1573-0646,Yes,,,Springer Nature (Springer)
Ionics,1862-0760,Yes,,,Springer Nature (Springer)
Iran Journal of Computer Science,2520-8446,Yes,,,Springer Nature (Springer)
"Iranian Journal of Science and Technology, Transactions A: Science",2364-1819,Yes,,,Springer Nature (Springer)
"Iranian Journal of Science and Technology, Transactions of Civil Engineering",2364-1843,Yes,,,Springer Nature (Springer)
"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",2364-1827,Yes,,,Springer Nature (Springer)
"Iranian Journal of Science and Technology, Transactions of Mechanical Engineering",2364-1835,Yes,,,Springer Nature (Springer)
Iranian Polymer Journal,1735-5265,Yes,,,Springer Nature (Springer)
Irish Journal of Medical Science (1971 -),1863-4362,Yes,,,Springer Nature (Springer)
Irrigation Science,1432-1319,Yes,,,Springer Nature (Springer)
Israel Journal of Mathematics,1565-8511,Yes,,,Springer Nature (Springer)
ISSS Journal of Micro and Smart Systems,2509-7997,Yes,,,Springer Nature (Springer)
IST International Surface Technology,2192-8703,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Italian Economic Journal,2199-3238,Yes,,,Springer Nature (Springer)
Italian Journal of Marketing,2662-3331,Yes,,,Springer Nature (Springer)
"Izvestiya, Atmospheric and Oceanic Physics",1555-628X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Izvestiya, Physics of the Solid Earth",1555-6506,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Jahresbericht der Deutschen Mathematiker-Vereinigung,1869-7135,Yes,,,Springer Nature (Springer)
Japan Journal of Industrial and Applied Mathematics,1868-937X,Yes,,,Springer Nature (Springer)
Japanese Journal of Mathematics,1861-3624,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Japanese Journal of Ophthalmology,1613-2246,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Japanese Journal of Radiology,1867-108X,Yes,,,Springer Nature (Springer)
Japanese Journal of Statistics and Data Science,2520-8764,Yes,,,Springer Nature (Springer)
JBIC Journal of Biological Inorganic Chemistry,1432-1327,Yes,,,Springer Nature (Springer)
JETP Letters,1090-6487,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Jewish History,1572-8579,Yes,,,Springer Nature (Springer)
Jindal Global Law Review,2364-4869,Yes,,,Springer Nature (Springer)
JMST Advances,2524-7913,Yes,,,Springer Nature (Springer)
JOM,1543-1851,Yes,,,Springer Nature (Springer)
JOT Journal für Oberflächentechnik,2192-869X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Journal d'Analyse Mathématique,1565-8538,Yes,,,Springer Nature (Springer)
Journal for General Philosophy of Science,1572-8587,Yes,,,Springer Nature (Springer)
Journal for STEM Education Research,2520-8713,Yes,,,Springer Nature (Springer)
