Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Epilepsy Research,0920-1211,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Episteme,1750-0117,Yes,,,CUP
EPL,1286-4854,Yes,,,IOP
EPMA Journal,1878-5085,Yes,,,Springer Nature (Springer)
Equity & Excellence in Education,1547-3457,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
ERA Forum,1863-9038,Yes,,,Springer Nature (Springer)
Erasmus Studies,1874-9275,Yes,,,BRILL
Ergodic Theory and Dynamical Systems,1469-4417,Yes,,,CUP
Ergonomics,1366-5847,Yes,,,Taylor and Francis
Erkenntnis,1572-8420,Yes,,,Springer Nature (Springer)
Erudition and the Republic of Letters,2405-5069,Yes,,,BRILL
Erwerbs-Obstbau,1439-0302,Yes,,,Springer Nature (Springer)
eScience,2667-1417,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
ESMO Open,2059-7029,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Esophagus,1612-9067,Yes,,,Springer Nature (Springer)
Essays in Biochemistry,1744-1358,Yes,,,Portland Press
Essays in Criticism,1471-6852,Yes,,,OUP
Estuaries and Coasts,1559-2731,Yes,,,Springer Nature (Springer)
"Estuarine, Coastal and Shelf Science",0272-7714,Yes,,,Elsevier
Ethical Theory and Moral Practice,1572-8447,Yes,,,Springer Nature (Springer)
Ethics & International Affairs,1747-7093,Yes,,,CUP
Ethics & Behavior,1532-7019,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethics & Global Politics,1654-6369,No,Fully open access journal,,Taylor and Francis
Ethics and Education,1744-9650,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethics and Information Technology,1572-8439,Yes,,,Springer Nature (Springer)
Ethics and Social Welfare,1749-6543,Yes,,,Taylor and Francis
"Ethics, Medicine & Public Health",2352-5525,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"Ethics, Policy & Environment",2155-0093,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethik in der Medizin,1437-1618,Yes,,,Springer Nature (Springer)
Éthique & Santé,1765-4629,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ethnic and Racial Studies,1466-4356,Yes,,,Taylor and Francis
Ethnicity & Health,1465-3419,Yes,,,Taylor and Francis
Ethnoarchaeology,1944-2904,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethnography and Education,1745-7831,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethnomusicology Forum,1741-1920,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethnopolitics,1744-9065,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethnos,1469-588X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ethology Ecology & Evolution,1828-7131,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
eTransportation,2590-1168,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Etruscan and Italic Studies,2566-9109,Yes,,,De Gruyter
EuPA Open Proteomics,2212-9685,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Euphytica,1573-5060,Yes,,,Springer Nature (Springer)
Eurasian Business Review,2147-4281,Yes,,,Springer Nature (Springer)
Eurasian Economic Review,2147-429X,Yes,,,Springer Nature (Springer)
Eurasian Geography and Economics,1938-2863,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Eurasian Soil Science,1556-195X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Eurasian Studies ,2468-5623,Yes,,,BRILL
EURO Journal on Computational Optimization,2192-4406,No,Society invoices APC - not on Elsevier systems,,Elsevier
EURO Journal on Decision Processes,2193-9438,No,Society invoices APC - not on Elsevier systems,,Elsevier
EURO Journal on Transportation and Logistics,2192-4376,No,Society invoices APC - not on Elsevier systems,,Elsevier
Euro-Mediterranean Journal for Environmental Integration,2365-7448,Yes,,,Springer Nature (Springer)
Europe-Asia Studies,1465-3427,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Accounting Review,1468-4497,Yes,,,Taylor and Francis
European Actuarial Journal,2190-9741,Yes,,,Springer Nature (Springer)
European Addiction Research,,Yes,,,Karger
"European Annals of Otorhinolaryngology, Head and Neck Diseases",1879-7296,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Archives of Oto-Rhino-Laryngology,1434-4726,Yes,,,Springer Nature (Springer)
European Archives of Paediatric Dentistry,1996-9805,Yes,,,Springer Nature (Springer)
European Archives of Psychiatry and Clinical Neuroscience,1433-8491,Yes,,,Springer Nature (Springer)
European Biophysics Journal,1432-1017,Yes,,,Springer Nature (Springer)
European Business Organization Law Review,1741-6205,Yes,,,Springer Nature (Springer)
European Child & Adolescent Psychiatry,1435-165X,Yes,,,Springer Nature (Springer)
European Clinical Respiratory Journal,2001-8525,No,Fully open access journal,,Taylor and Francis
European Company and Financial Law Review,1613-2556,Yes,,,De Gruyter
European Competition Journal,1757-8396,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Constitutional Law Review,1744-5515,Yes,,,CUP
European Cytokine Network,1952-4005,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
European Early Childhood Education Research Journal,1752-1807,Yes,,,Taylor and Francis
European Economic Review,0014-2921,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Education,1944-7086,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Food Research and Technology,1438-2385,Yes,,,Springer Nature (Springer)
European Geriatric Medicine,1878-7657,Yes,,,Springer Nature (Springer)
European Heart Journal – Cardiovascular Imaging,2047-2412,Yes,,,OUP
European Heart Journal – Cardiovascular Pharmacotherapy,2055-6845,Yes,,,OUP
European Heart Journal – Quality of Care & Clinical Outcomes,2058-1742,Yes,,,OUP
European Heart Journal (1),1522-9645,Yes,,,OUP
European Heart Journal Supplements,1554-2815,No,Uses different online system ,,OUP
European Heart Journal: Acute Cardiovascular Care ,"
2048-8734 ",Yes,,,OUP
European Investment Law and Arbitration Review Online,2468-9017,Yes,,,BRILL
European Journal for Philosophy of Science,1879-4920,Yes,,,Springer Nature (Springer)
European Journal for Security Research,2365-1695,Yes,,,Springer Nature (Springer)
European Journal for Sport and Society,2380-5919,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal for the History of Medicine and Health,2666-7711,Yes,,,BRILL
European Journal of Ageing,1613-9380,Yes,,,Springer Nature (Springer)
European Journal of Agronomy,1161-0301,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Journal of Applied Linguistics,2192-953X,Yes,,,De Gruyter
European Journal of Applied Mathematics,1469-4425,Yes,,,CUP
European Journal of Applied Physiology,1439-6327,Yes,,,Springer Nature (Springer)
European Journal of Archaeology,1741-2722,Yes,,,CUP
European Journal of Behavior Analysis,2377-729X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Cancer,0959-8049,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Journal of Cancer: Supplement,1359-6349,No,Society invoices APC - not on Elsevier systems,,Elsevier
European Journal of Cardio-Thoracic Surgery,1873-734X,Yes,,,OUP
European Journal of Cardiovascular Nursing ,1873-1953,Yes,,,OUP
European Journal of Cell Biology,0171-9335,No,Gold OA Title.  15% discount on APC charges,,Elsevier
European Journal of Clinical Microbiology & Infectious Diseases,1435-4373,Yes,,,Springer Nature (Springer)
European Journal of Clinical Nutrition,1476-5640,Yes,,,Springer Nature (Academic Journals on Nature.com)
European Journal of Clinical Pharmacology,1432-1041,Yes,,,Springer Nature (Springer)
European Journal of Combinatorics,0195-6698,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Journal of Comparative Law and Governance,2213-4514,Yes,,,BRILL
European Journal of Control,0947-3580,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"European Journal of Crime, Criminal Law and Criminal Justice",1571-8174,Yes,,,BRILL
European Journal of Cultural and Political Sociology,2325-4815,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Dermatology,1952-4013,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
European Journal of Developmental Psychology,1740-5610,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Drug Metabolism and Pharmacokinetics,2107-0180,Yes,,,Springer Nature (Adis)
European Journal of East Asian Studies,1570-0615,Yes,,,BRILL
European Journal of Engineering Education,1469-5898,Yes,,,Taylor and Francis
European Journal of English Studies,1744-4233,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Environmental and Civil Engineering,2116-7214,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Epidemiology,1573-7284,Yes,,,Springer Nature (Springer)
European Journal of Forest Research,1612-4677,Yes,,,Springer Nature (Springer)
European Journal of General Practice,1751-1402,No,Fully open access journal,,Taylor and Francis
European Journal of Health Law,1571-8093,Yes,,,BRILL
European Journal of Higher Education,2156-8243,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Human Genetics,1476-5438,Yes,,,Springer Nature (Academic Journals on Nature.com)
European Journal of Information Systems,1476-9344,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
European Journal of Integrative Medicine,1876-3820,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Journal of Internal Medicine,0953-6205,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
European Journal of International Law,1464-3596,Yes,,,OUP
European Journal of International Security,2057-5645,Yes,,,CUP
European Journal of Jewish Studies,1872-471X,Yes,,,BRILL
European Journal of Law and Economics,1572-9990,Yes,,,Springer Nature (Springer)
